quarter, time remaining, action 20051102,score
1,12:00,Start of the 1st Quarter.,0 - 0
1,12:00,Jumpball: Jared Jeffries vs. Chris Bosh. Gilbert Arenas gains possession.,0 - 0
1,11:45,Gilbert Arenas made 25 ft three point jumper. Assisted by Jared Jeffries.,3 - 0
1,11:26,Jalen Rose missed 11 ft two point shot.,3 - 0
1,11:25,Jared Jeffries defensive rebound.,3 - 0
1,11:15,Antawn Jamison Traveling,3 - 0
1,10:55,Joey Graham made 23 ft three point jumper. Assisted by Mike James.,3 - 3
1,10:41,Antawn Jamison made running jumper.,5 - 3
1,10:41,Joey Graham Shooting Foul. Antawn Jamison gains possession.,5 - 3
1,10:41,Antawn Jamison made Free Throw 1 of 1.,6 - 3
1,10:30,Mike James missed 18 ft jumper.,6 - 3
1,10:29,Chris Bosh offensive rebound.,6 - 3
1,10:21,Joey Graham made two point shot. Assisted by Mike James.,6 - 5
1,10:11,Antawn Jamison missed 24 ft three point jumper.,6 - 5
1,10:10,Loren Woods defensive rebound.,6 - 5
1,10:04,Antonio Daniels Personal Foul. Jalen Rose gains possession.,6 - 5
1,10:00,Chris Bosh's 9 ft jumper blocked by Jared Jeffries.,6 - 5
1,9:57,Chris Bosh offensive rebound.,6 - 5
1,9:53,Chris Bosh made two point shot.,6 - 7
1,9:40,Brendan Haywood made dunk. Assisted by Gilbert Arenas.,8 - 7
1,9:26,Jared Jeffries Personal Foul. Mike James gains possession.,8 - 7
1,9:12,Mike James missed driving layup.,8 - 7
1,9:11,Loren Woods offensive rebound.,8 - 7
1,9:11,Loren Woods missed tip shot.,8 - 7
1,9:10,Loren Woods offensive rebound.,8 - 7
1,9:07,Loren Woods made layup.,8 - 9
1,8:57,Antawn Jamison missed 9 ft two point shot.,8 - 9
1,8:56,Loren Woods defensive rebound.,8 - 9
1,8:45,Jalen Rose missed 14 ft jumper.,8 - 9
1,8:45,Chris Bosh offensive rebound.,8 - 9
1,8:42,Chris Bosh made layup.,8 - 11
1,8:41,Washington Full Timeout.,8 - 11
1,8:22,Brendan Haywood's 10 ft two point shot blocked by Loren Woods.,8 - 11
1,8:19,Jared Jeffries offensive rebound.,8 - 11
1,8:15,Jared Jeffries missed 13 ft two point shot.,8 - 11
1,8:15,Washington defensive rebound.,8 - 11
1,8:00,Chris Bosh missed 19 ft jumper.,8 - 11
1,7:58,Antonio Daniels defensive rebound.,8 - 11
1,7:46,Gilbert Arenas missed 25 ft three point jumper.,8 - 11
1,7:43,Mike James defensive rebound.,8 - 11
1,7:37,Gilbert Arenas Shooting Foul. Mike James gains possession.,8 - 11
1,7:37,Mike James made Free Throw 1 of 2.,8 - 12
1,7:37,Mike James made Free Throw 2 of 2.,8 - 13
1,7:24,Antawn Jamison made 5 ft two point shot. Assisted by Gilbert Arenas.,10 - 13
1,7:05,Chris Bosh missed 13 ft two point shot.,10 - 13
1,7:03,Antawn Jamison defensive rebound.,10 - 13
1,6:58,Antonio Daniels missed 25 ft three point jumper.,10 - 13
1,6:56,Washington defensive rebound.,10 - 13
1,6:47,Mike James missed 13 ft running jumper.,10 - 13
1,6:46,Antawn Jamison defensive rebound.,10 - 13
1,6:39,Gilbert Arenas Lost Ball. Stolen by Joey Graham.,10 - 13
1,6:35,Mike James made driving layup. Assisted by Joey Graham.,10 - 15
1,6:28,Gilbert Arenas missed 25 ft three point jumper.,10 - 15
1,6:26,Joey Graham defensive rebound.,10 - 15
1,6:18,Loren Woods Offensive Foul. Gilbert Arenas gains possession.,10 - 15
1,6:18,Loren Woods Turnover,10 - 15
1,6:18,Etan Thomas enters the game for Brendan Haywood.,10 - 15
1,6:18,Caron Butler enters the game for Jared Jeffries.,10 - 15
1,6:07,Antawn Jamison made driving layup.,12 - 15
1,6:07,Chris Bosh Shooting Foul. Antawn Jamison gains possession.,12 - 15
1,6:07,Antawn Jamison made Free Throw 1 of 1.,13 - 15
1,5:54,Jalen Rose missed layup.,13 - 15
1,5:52,Loren Woods offensive rebound.,13 - 15
1,5:50,Loren Woods made two point shot.,13 - 17
1,5:26,Gilbert Arenas missed 18 ft two point shot.,13 - 17
1,5:24,Mike James defensive rebound.,13 - 17
1,5:18,Jalen Rose made 25 ft three point jumper. Assisted by Mike James.,13 - 20
1,4:56,Loren Woods Shooting Foul. Etan Thomas gains possession.,13 - 20
1,4:56,Rafael Araujo enters the game for Loren Woods.,13 - 20
1,4:56,Etan Thomas missed Free Throw 1 of 2.,13 - 20
1,4:56,Washington offensive rebound.,13 - 20
1,4:56,Etan Thomas made Free Throw 2 of 2.,14 - 20
1,4:33,Joey Graham missed 25 ft three point jumper.,14 - 20
1,4:31,Etan Thomas defensive rebound.,14 - 20
1,4:26,Caron Butler Offensive Foul. Chris Bosh gains possession.,14 - 20
1,4:26,Caron Butler Turnover,14 - 20
1,4:09,Chris Bosh missed two point shot.,14 - 20
1,4:09,Toronto offensive rebound.,14 - 20
1,4:03,Chris Bosh missed 23 ft three point jumper.,14 - 20
1,4:01,Rafael Araujo offensive rebound.,14 - 20
1,3:59,Rafael Araujo Offensive Foul. Caron Butler gains possession.,14 - 20
1,3:59,Rafael Araujo Turnover,14 - 20
1,3:59,Morris Peterson enters the game for Joey Graham.,14 - 20
1,3:59,Brendan Haywood enters the game for Etan Thomas.,14 - 20
1,3:45,Antawn Jamison made 24 ft three point jumper. Assisted by Antonio Daniels.,17 - 20
1,3:18,Chris Bosh missed 14 ft two point shot.,17 - 20
1,3:16,Caron Butler defensive rebound.,17 - 20
1,3:03,Antawn Jamison made driving layup. Assisted by Gilbert Arenas.,19 - 20
1,2:44,Morris Peterson made 18 ft jumper.,19 - 22
1,2:28,Toronto Official Timeout.,19 - 22
1,2:28,Charlie Villanueva enters the game for Chris Bosh.,19 - 22
1,2:24,Caron Butler made 22 ft jumper. Assisted by Antonio Daniels.,21 - 22
1,2:05,Charlie Villanueva missed 11 ft two point shot.,21 - 22
1,2:04,Antawn Jamison defensive rebound.,21 - 22
1,1:59,Brendan Haywood made dunk. Assisted by Antonio Daniels.,23 - 22
1,1:45,Morris Peterson Double Dribble,23 - 22
1,1:31,Gilbert Arenas's 9 ft two point shot blocked by Jalen Rose.,23 - 22
1,1:29,Jalen Rose defensive rebound.,23 - 22
1,1:21,Mike James missed 26 ft three point jumper.,23 - 22
1,1:19,Antawn Jamison defensive rebound.,23 - 22
1,1:15,Mike James Shooting Foul. Caron Butler gains possession.,23 - 22
1,1:15,Caron Butler made Free Throw 1 of 2.,24 - 22
1,1:15,Caron Butler made Free Throw 2 of 2.,25 - 22
1,1:02,Antawn Jamison Personal Foul. Charlie Villanueva gains possession.,25 - 22
1,55.9,Charlie Villanueva missed 25 ft three point jumper.,25 - 22
1,54.5,Brendan Haywood defensive rebound.,25 - 22
1,46.9,Antawn Jamison missed 9 ft two point shot.,25 - 22
1,44.9,Rafael Araujo defensive rebound.,25 - 22
1,37.9,Rafael Araujo made 17 ft jumper. Assisted by Mike James.,25 - 24
1,27.0,Brendan Haywood made dunk. Assisted by Gilbert Arenas.,27 - 24
1,6.9,Mike James missed driving layup.,27 - 24
1,4.9,Antawn Jamison defensive rebound.,27 - 24
1,2.0,Rafael Araujo Shooting Foul. Caron Butler gains possession.,27 - 24
1,2.0,Caron Butler made Free Throw 1 of 2.,28 - 24
1,2.0,Caron Butler made Free Throw 2 of 2.,29 - 24
1,0.1,Morris Peterson missed 46 ft three point running jumper.,29 - 24
1,0.0,Toronto offensive rebound.,29 - 24
1,0.0,End of the 1st Quarter.,29 - 24
2,12:00,Start of the 2nd Quarter.,29 - 24
2,11:40,Chris Bosh made slam dunk. Assisted by Morris Peterson.,29 - 26
2,11:15,Washington 20 Sec. Timeout.,29 - 26
2,11:11,Brendan Haywood missed 8 ft two point shot.,29 - 26
2,11:08,Chris Bosh defensive rebound.,29 - 26
2,10:45,Morris Peterson missed three point jumper.,29 - 26
2,10:45,Brendan Haywood defensive rebound.,29 - 26
2,10:36,Jarvis Hayes made jumper. Assisted by Antonio Daniels.,31 - 26
2,10:21,Jalen Rose missed 21 ft jumper.,31 - 26
2,10:18,Caron Butler defensive rebound.,31 - 26
2,10:11,Jarvis Hayes missed 26 ft three point jumper.,31 - 26
2,10:10,Jalen Rose defensive rebound.,31 - 26
2,10:02,Jalen Rose made driving layup.,31 - 28
2,9:42,Morris Peterson Personal Foul. Jarvis Hayes gains possession.,31 - 28
2,9:42,Gilbert Arenas enters the game for Antonio Daniels.,31 - 28
2,9:37,Caron Butler missed jumper.,31 - 28
2,9:34,Chris Bosh defensive rebound.,31 - 28
2,9:27,Morris Peterson missed driving layup.,31 - 28
2,9:26,Charlie Villanueva offensive rebound.,31 - 28
2,9:25,Charlie Villanueva made layup.,31 - 30
2,9:19,Washington Full Timeout.,31 - 30
2,9:08,Jarvis Hayes made driving layup. Assisted by Caron Butler.,33 - 30
2,9:08,Chris Bosh Illegal Defense,33 - 30
2,8:51,Charlie Villanueva Bad Pass. Stolen by Brendan Haywood.,33 - 30
2,8:44,Brendan Haywood made dunk. Assisted by Gilbert Arenas.,35 - 30
2,8:18,Morris Peterson missed three point jumper.,35 - 30
2,8:17,Chris Bosh offensive rebound.,35 - 30
2,8:14,Jarvis Hayes Shooting Foul. Jalen Rose gains possession.,35 - 30
2,8:14,Jalen Rose made Free Throw 1 of 2.,35 - 31
2,8:14,Etan Thomas enters the game for Brendan Haywood.,35 - 31
2,8:14,Michael Ruffin enters the game for Caron Butler.,35 - 31
2,8:14,Jalen Rose made Free Throw 2 of 2.,35 - 32
2,7:52,Gilbert Arenas made driving layup.,37 - 32
2,7:52,Chris Bosh Shooting Foul. Gilbert Arenas gains possession.,37 - 32
2,7:52,Matt Bonner enters the game for Jalen Rose.,37 - 32
2,7:52,Gilbert Arenas made Free Throw 1 of 1.,38 - 32
2,7:31,Chris Bosh missed 18 ft jumper.,38 - 32
2,7:28,Gilbert Arenas defensive rebound.,38 - 32
2,7:26,Jarvis Hayes made driving dunk. Assisted by Chucky Atkins.,40 - 32
2,7:18,Toronto Full Timeout.,40 - 32
2,7:09,Matt Bonner missed three point jumper.,40 - 32
2,7:07,Etan Thomas defensive rebound.,40 - 32
2,6:58,Jarvis Hayes made layup. Assisted by Chucky Atkins.,42 - 32
2,6:46,Jose Calderon made 15 ft jumper.,42 - 34
2,6:43,Jarvis Hayes Bad Pass. Stolen by Jose Calderon.,42 - 34
2,6:39,Morris Peterson made layup. Assisted by Jose Calderon.,42 - 36
2,6:13,Chucky Atkins missed 20 ft jumper.,42 - 36
2,6:11,Jose Calderon defensive rebound.,42 - 36
2,6:11,Chucky Atkins Personal Foul. Jose Calderon gains possession.,42 - 36
2,6:00,Morris Peterson made 23 ft three point jumper. Assisted by Jose Calderon.,42 - 39
2,5:37,Chucky Atkins Offensive Foul. Jose Calderon gains possession.,42 - 39
2,5:37,Chucky Atkins Turnover,42 - 39
2,5:20,Chris Bosh's two point shot blocked by Michael Ruffin.,42 - 39
2,5:20,Toronto offensive rebound.,42 - 39
2,5:20,Antawn Jamison enters the game for Chucky Atkins.,42 - 39
2,5:16,Matt Bonner made 14 ft running jumper. Assisted by Morris Peterson.,42 - 41
2,4:56,Michael Ruffin made dunk. Assisted by Jarvis Hayes.,44 - 41
2,4:37,Morris Peterson missed jumper.,44 - 41
2,4:37,Toronto defensive rebound.,44 - 41
2,4:28,Gilbert Arenas Kicked Ball,44 - 41
2,4:18,Jose Calderon made 25 ft three point jumper.,44 - 44
2,3:58,Antawn Jamison made 10 ft running jumper.,46 - 44
2,3:42,Charlie Villanueva made 25 ft three point jumper. Assisted by Jose Calderon.,46 - 47
2,3:14,Shot Clock Violation,46 - 47
2,3:14,Jalen Rose enters the game for Chris Bosh.,46 - 47
2,3:03,Morris Peterson made three point jumper. Assisted by Jalen Rose.,46 - 50
2,2:46,Jarvis Hayes made two point shot. Assisted by Antawn Jamison.,48 - 50
2,2:28,Charlie Villanueva made jumper. Assisted by Jalen Rose.,48 - 52
2,2:15,Matt Bonner Personal Foul. Gilbert Arenas gains possession.,48 - 52
2,2:15,Official Timeout.,48 - 52
2,2:15,Jared Jeffries enters the game for Etan Thomas.,48 - 52
2,2:06,Antawn Jamison made 7 ft two point shot.,50 - 52
2,1:47,Matt Bonner missed 12 ft two point shot.,50 - 52
2,1:46,Jarvis Hayes defensive rebound.,50 - 52
2,1:38,Gilbert Arenas made driving layup.,52 - 52
2,1:21,Michael Ruffin Shooting Foul. Matt Bonner gains possession.,52 - 52
2,1:21,Matt Bonner made Free Throw 1 of 2.,52 - 53
2,1:21,Matt Bonner missed Free Throw 2 of 2.,52 - 53
2,1:21,Michael Ruffin defensive rebound.,52 - 53
2,1:06,Matt Bonner Shooting Foul. Michael Ruffin gains possession.,52 - 53
2,1:06,Michael Ruffin missed Free Throw 1 of 2.,52 - 53
2,1:06,Washington offensive rebound.,52 - 53
2,1:06,Michael Ruffin missed Free Throw 2 of 2.,52 - 53
2,1:05,Charlie Villanueva defensive rebound.,52 - 53
2,51.3,Jalen Rose made 14 ft running jumper.,52 - 55
2,44.8,Jalen Rose Personal Foul. Antawn Jamison gains possession.,52 - 55
2,44.8,Antawn Jamison missed Free Throw 1 of 2.,52 - 55
2,44.8,Washington offensive rebound.,52 - 55
2,44.8,Antawn Jamison missed Free Throw 2 of 2.,52 - 55
2,44.7,Charlie Villanueva defensive rebound.,52 - 55
2,33.4,Toronto 20 Sec. Timeout.,52 - 55
2,20.9,Jose Calderon missed 24 ft three point jumper.,52 - 55
2,18.7,Michael Ruffin defensive rebound.,52 - 55
2,14.8,Jarvis Hayes Bad Pass,52 - 55
2,3.0,Jared Jeffries Personal Foul. Jalen Rose gains possession.,52 - 55
2,3.0,Jalen Rose made Free Throw 1 of 2.,52 - 56
2,3.0,Joey Graham enters the game for Matt Bonner.,52 - 56
2,3.0,Jalen Rose made Free Throw 2 of 2.,52 - 57
2,1.2,Gilbert Arenas made two point shot. Assisted by Jarvis Hayes.,54 - 57
2,0.0,End of the 2nd Quarter.,54 - 57
3,12:00,Start of the 3rd Quarter.,54 - 57
3,11:44,Chris Bosh missed 7 ft jumper.,54 - 57
3,11:41,Antawn Jamison defensive rebound.,54 - 57
3,11:36,Jared Jeffries made layup. Assisted by Gilbert Arenas.,56 - 57
3,11:22,Joey Graham made 21 ft jumper. Assisted by Jalen Rose.,56 - 59
3,11:04,Gilbert Arenas missed 26 ft three point jumper.,56 - 59
3,11:03,Loren Woods defensive rebound.,56 - 59
3,10:56,Mike James's driving layup blocked by Gilbert Arenas.,56 - 59
3,10:55,Gilbert Arenas defensive rebound.,56 - 59
3,10:49,Antonio Daniels missed 11 ft running jumper.,56 - 59
3,10:48,Chris Bosh defensive rebound.,56 - 59
3,10:42,Joey Graham missed 18 ft jumper.,56 - 59
3,10:41,Antawn Jamison defensive rebound.,56 - 59
3,10:21,Antonio Daniels made driving layup.,58 - 59
3,10:21,Loren Woods Shooting Foul. Antonio Daniels gains possession.,58 - 59
3,10:21,Antonio Daniels missed Free Throw 1 of 1.,58 - 59
